"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.0086287074701e-140,0.725673812389474,1,0.991,2.7546334094245e-136,"Naive CD4 T","RPS12"
2.6240746974974e-140,0.724284664457209,0.999,0.992,3.59865604014793e-136,"Naive CD4 T","RPS27"
1.28016867716637e-138,0.674263013155929,1,0.995,1.75562332386596e-134,"Naive CD4 T","RPS6"
4.3588225187774e-135,0.612102687168706,0.999,0.995,5.97768920225133e-131,"Naive CD4 T","RPL32"
3.61879283344212e-128,0.617975585126337,1,0.994,4.96281249178252e-124,"Naive CD4 T","RPS14"
1.09033678935918e-124,-1.57393546510805,0.661,0.914,1.49528787292718e-120,"Naive CD4 T","CYBA"
5.61200678432974e-124,0.750693573733954,0.997,0.975,7.6963061040298e-120,"Naive CD4 T","RPS25"
2.51336979968183e-118,0.751822116787399,0.994,0.972,3.44683534328366e-114,"Naive CD4 T","RPL9"
5.8006461890005e-117,-2.68373173042592,0.677,0.904,7.95500618359529e-113,"Naive CD4 T","CD74"
3.04883886594082e-116,0.56791969638061,1,0.996,4.18117762075124e-112,"Naive CD4 T","RPL13"
6.67039632929409e-114,0.734297731712617,0.996,0.964,9.14778152599392e-110,"Naive CD4 T","RPL31"
1.13202034354008e-113,0.598147718196766,1,0.994,1.55245269913087e-109,"Naive CD4 T","RPS3"
1.71657353334076e-112,-3.04340369258435,0.102,0.588,2.35410894362352e-108,"Naive CD4 T","HLA-DRB1"
3.52208196522425e-112,0.607070596977499,0.997,0.995,4.83018320710854e-108,"Naive CD4 T","RPL3"
1.45516672674457e-109,0.667766603872963,0.997,0.991,1.9956156490575e-105,"Naive CD4 T","RPL21"
1.07514764099659e-108,0.775465883605237,0.991,0.977,1.47445747486272e-104,"Naive CD4 T","RPS3A"
6.58559950946252e-108,0.658244861685826,0.997,0.98,9.0314911672769e-104,"Naive CD4 T","RPL30"
1.96303122414554e-107,1.05325892910064,0.901,0.594,2.69210102079319e-103,"Naive CD4 T","LDHB"
1.48849501127316e-105,-3.71420056964569,0.26,0.668,2.04132205846001e-101,"Naive CD4 T","HLA-DRA"
