"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.74095718368189e-109,1.06916576423144,0.897,0.593,2.38754868170134e-105,"0","LDHB"
1.16763171302843e-83,1.33350348771953,0.435,0.108,1.60129013124718e-79,"0","CCR7"
3.28414981390463e-49,1.05127513899923,0.333,0.103,4.50388305478881e-45,"0","LEF1"
6.65603069607414e-49,0.98344370261445,0.623,0.358,9.12808049659607e-45,"0","NOSIP"
9.30852031186229e-44,1.02747399102726,0.328,0.11,1.2765704755688e-39,"0","PRKCQ-AS1"
0,5.57006278896292,0.996,0.215,0,"1","S100A9"
0,5.47739408166531,0.975,0.121,0,"1","S100A8"
0,3.80048354645544,0.908,0.059,0,"1","LGALS2"
0,3.39421897193108,0.952,0.151,0,"1","FCN1"
1.07038384103218e-267,4.5494659573954,1,0.517,1.46792439959153e-263,"1","LYZ"
2.59353492496029e-91,1.215436007066,0.949,0.466,3.55677379609054e-87,"2","IL32"
7.99446530047354e-87,1.28285966512916,0.981,0.644,1.09636097130694e-82,"2","LTB"
1.13087046942728e-66,1.17760265355828,0.748,0.327,1.55087576177257e-62,"2","IL7R"
5.52649190646735e-61,1.23921857313511,0.657,0.245,7.57903100052933e-57,"2","CD2"
2.6100168237459e-59,1.24036103934178,0.424,0.111,3.57937707208513e-55,"2","AQP3"
0,4.31017162950471,0.936,0.041,0,"3","CD79A"
0,3.3781495320653,0.855,0.053,0,"3","MS4A1"
2.65597388082529e-274,3.48190840641976,0.916,0.142,3.6424025801638e-270,"3","CD79B"
9.48178348771665e-271,3.59157945560685,0.622,0.022,1.30033178750546e-266,"3","TCL1A"
1.17193186890855e-229,3.0768221401113,0.863,0.147,1.60718736502119e-225,"3","HLA-DQB1"
1.16709452222575e-178,2.96620589937237,0.957,0.241,1.60055342778039e-174,"4","CCL5"
1.07226872005293e-177,2.39004947057069,0.971,0.219,1.47050932268058e-173,"4","NKG7"
6.61784502070314e-171,2.11601993307273,0.814,0.123,9.07571266139228e-167,"4","CST7"
4.93250908316991e-169,3.00673947050148,0.595,0.056,6.76444295665921e-165,"4","GZMK"
3.51285306027106e-93,2.59873528786711,0.437,0.06,4.81752668685574e-89,"4","GZMH"
1.71032103767149e-186,2.71071579171054,0.809,0.073,2.34553427106268e-182,"5","MS4A7"
3.51119239356996e-184,3.31169655037583,0.975,0.134,4.81524924854185e-180,"5","FCGR3A"
2.02567213765565e-125,3.08565413543333,1,0.315,2.77800676958095e-121,"5","LST1"
6.4207630917951e-120,2.74331585941211,1,0.316,8.8054345040878e-116,"5","FCER1G"
1.36592772243918e-115,2.70225770989978,1,0.334,1.87323327855309e-111,"5","AIF1"
1.05191072895889e-265,4.88817178379598,0.986,0.071,1.44259037369422e-261,"6","GZMB"
1.52973043116295e-243,4.14062845328405,0.917,0.063,2.09787231329687e-239,"6","FGFBP2"
7.13458832427326e-204,4.01810672407618,0.972,0.109,9.78437442790834e-200,"6","PRF1"
6.82326456389034e-175,4.91736988501974,0.958,0.135,9.35742502291921e-171,"6","GNLY"
6.03840260321566e-132,4.05159039993,1,0.258,8.28106533004995e-128,"6","NKG7"
1.48076404741146e-220,3.8711506362036,0.812,0.011,2.03071981462008e-216,"7","FCER1A"
1.83636045636122e-31,2.75742738406363,0.969,0.209,2.51838472985377e-27,"7","HLA-DQA1"
5.96443897969723e-22,2.6424964897178,1,0.453,8.17963161675678e-18,"7","HLA-DRB1"
8.74531446319754e-22,2.63608441529974,1,0.487,1.19933242548291e-17,"7","HLA-DPA1"
1.66528585008466e-21,2.87446533893953,1,0.513,2.28377301480611e-17,"7","HLA-DPB1"
7.73117953869377e-200,7.24337681790116,1,0.01,1.06025396193646e-195,"8","PF4"
1.55575260139897e-185,6.55425273873039,0.929,0.01,2.13355911755854e-181,"8","GNG11"
2.82806755201064e-168,6.20993284467427,0.929,0.011,3.87841184082739e-164,"8","SDPR"
2.27584366677649e-118,6.09913491629247,0.857,0.015,3.12109200461728e-114,"8","CLU"
3.68454824792992e-110,8.57586215005775,1,0.024,5.05298946721109e-106,"8","PPBP"
